   Crop          1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57
   #  NAME      WA      HI     TOP     TBS    DMLA    DLAI   DLAP1   DLAP2    RLAD    RBMD     ALT     GSI     CAF     SDW     HMX    RDMX    WAC2     CNY     CPY     CKY    WSYF     PST    CSTS    PRYG    PRYF     WCY     BN1     BN2     BN3     BP1     BP2     BP3     BK1     BK2     BK3     BW1     BW2     BW3     IDC   FRST1   FRST2    WAVP    VPTH    VPD2   RWPC1   RWPC2    GMHU   PPLP1   PPLP2    STX1    STX2    BLG1    BLG2     WUB     FTO     FLT    EXTC
    1 SOYB      25     0.3      25      10       5     0.9   15.05   50.95     0.1       1       3   0.007    0.85      35     0.8       2 660.338  0.0699  0.0077  0.0196   0.233     0.6   0.628     220     100    0.13  0.0524  0.0265  0.0258  0.0074  0.0037  0.0035   0.012    0.01   0.009   1.266   0.633   0.729       1    5.15   15.95       5     0.5    4.75     0.4     0.2     100   30.43   50.71     0.2       5    0.01     0.1       0       0       0       0   SOYBEANS                   
    2 CORN      43     0.5      25       8       6     0.8   15.15   50.95       1     0.1       3   0.007    0.85      20       2       2 660.449  0.0175  0.0025  0.0032     0.4     0.6   3.445  98.421   80.22    0.15   0.044  0.0164  0.0128  0.0062  0.0023  0.0018   0.015   0.012   0.009   0.433   0.433   0.213       4    5.15   15.95       8     0.5    4.75     0.4     0.2     100    4.47    7.77    0.12     1.7    0.01     0.1       0       0       0       0   CORN                       
    3 GRSG      31    0.55    27.5      10     5.5     0.7   15.01   60.95     0.5     0.5       2   0.007    0.85       5     1.4     1.7 660.357  0.0199  0.0032  0.0039    0.05     0.6   3.662   92.83      75    0.13    0.04  0.0164  0.0128   0.006  0.0022  0.0018   0.027   0.018   0.013   0.657   0.657    0.32       4    5.15   15.95       9     0.5    4.75     0.4     0.2     100     3.2    10.9     0.2     4.8    0.01     0.1       0       0       0       0   GRAIN_SORGHUM              
    4 COTS      20    0.55    27.5    12.5       6    0.95   15.05   50.95     0.5     0.5       3    0.02    0.85      25       1     2.2 660.203   0.014   0.002   0.014    0.45     0.6   2.822 1212.54 137.696    0.01   0.058   0.019  0.0177  0.0081  0.0027  0.0025    0.03   0.022   0.015   1.138   0.603   0.332       9    5.15   15.95       3       1     4.3     0.4     0.1     100     3.2    10.9   0.052     7.7    0.01     0.1       0    0.27    0.38    0.38   COTTON_STRIPPER            
    5 COTP      24    0.45    27.5    12.5       6    0.95   15.15   50.95     0.5     0.5       3    0.02    0.85      25       1     2.2 660.203   0.019  0.0029   0.014    0.05     0.6   2.822 1212.54 137.696    0.01   0.058   0.019  0.0177  0.0081  0.0027  0.0025    0.03   0.022   0.015   1.138   0.603   0.332       9    5.15   15.95       3       1     4.3     0.4     0.1     100     3.2    10.9   0.052     7.7    0.01     0.1       0    0.38    0.38    0.38   COTTON_PICKER              
    6 PNUT      30       0      25       9       5    0.85   15.01   50.95       1     0.5       4    0.01    0.85      30     0.5       2  660.25   0.065   0.009   0.006     0.3     0.6   1.801     353     551    0.06  0.0329  0.0167  0.0162  0.0039   0.002  0.0019    0.03    0.02   0.009   1.266   0.633   0.729       1    5.15   15.95       4     0.5    4.75     0.4     0.6     100     3.1    10.9   0.286     3.2    0.01     0.1       0       0       0       0   PEANUTS                    
    7 SUNF      49     0.3      25       6       5    0.55   15.01   50.95       1       2       3   0.007    0.85       8     2.5     2.2  660.66  0.0287  0.0056  0.0071    0.27     0.6    8.71     298       5    0.06    0.05   0.023  0.0146  0.0063  0.0029  0.0023   0.029    0.02    0.01    3.39    3.39    1.61       4    5.15   15.95       7     0.5    4.75     0.4     0.2     100    2.63    6.99    0.05     7.7    0.01     0.1       0       0       0       0   SUNFLOWERS                 
    8 CSUN      60    0.25      25       6       5    0.55   15.01   50.95       1       2       3   0.007    0.85       8     2.5     2.2  660.81  0.0287  0.0056  0.0071    0.22     0.6    8.71     298       5    0.06    0.05   0.023  0.0146  0.0063  0.0029  0.0023   0.029    0.02    0.01    3.39    3.39    1.61       4    5.15   15.95       7     0.5    4.75     0.4     0.2     100    2.63    6.99    0.05     7.7    0.01     0.1       0       0       0       0   CANADIAN_SUNFLOWERS        
    9 FALW    0.01     0.4      15       0       0    0.55   15.01   50.95       1       1       3   0.013    0.85    0.01       2     2.2  660.02   0.028   0.006   0.007     0.3     0.6    4.41     190       5    0.06    0.05   0.023   0.015   0.006   0.003   0.002   0.029    0.02    0.01   1.138   0.603   0.332       4    5.15   15.95       7     0.5    4.75     0.4     0.2       0     1.1     4.9   0.052     7.7    0.01     0.1       0       0       0       0   FALLOW                     
   10 WWHT      35    0.45      15       0       6     0.6   15.01   50.95       1       1       2   0.007    0.85      90       1       2 660.473  0.0249  0.0033  0.0042    0.21     0.6   0.259 146.975      20    0.12    0.06   0.023  0.0134  0.0084  0.0032  0.0019   0.023    0.02   0.017    3.39    3.39    1.61       5    5.01    15.1       6     0.5    4.75     0.4     0.2     100   125.6  250.95   0.071       6    0.01     0.1       0       0       0       0   WINTER_WHEAT               
   11 SWHT      30    0.42      15       0       5     0.6    20.1   49.95       1       1       2   0.007    0.85      90       1     1.3  660.41  0.0303  0.0038  0.0039    0.21     0.6   0.224     138      20    0.12  0.0663   0.025  0.0148  0.0084  0.0032  0.0019   0.023    0.02   0.017    3.39    3.39    1.61       5    5.01    15.1       6     0.5    4.75     0.4     0.2     100   125.6  250.95    0.07       6    0.01     0.1       0       0       0       0   SPRING_WHEAT               
   12 CSWH      35    0.42      15       0       5     0.6   15.01   45.95       1       1       2   0.007    0.85      90       1       2  660.47  0.0303  0.0038  0.0039    0.21     0.6   0.259     138      20    0.12  0.0663   0.025  0.0148  0.0084  0.0032  0.0019   0.023    0.02   0.017    3.39    3.39    1.61       5    5.01    15.1       8     0.5    4.75     0.4     0.2     100   125.6  250.95    0.07       6    0.01     0.1       0       0       0       0   CANADIAN_SPRING_WHEAT      
   13 DWHT      30     0.4      15       0       5     0.6   15.01   50.95       1       1       2   0.007    0.85      90       1       2  660.41  0.0263  0.0057  0.0048     0.2     0.6   0.259     127      20    0.12  0.0518  0.0199  0.0116  0.0089  0.0034   0.002   0.023    0.02   0.017    3.39    3.39    1.61       5    5.01    15.1       7     0.5    4.75     0.4     0.2     100   125.6  250.95    0.07       6    0.01     0.1       0       0       0       0   DURAM_WHEAT                
   14 BARL      30     0.4      15       0       6     0.8   15.01   50.95       1       1       2   0.006    0.85      90       1       2  660.45  0.0236  0.0029   0.006    0.21     0.6   0.266     129      20    0.12   0.059   0.022  0.0131  0.0057  0.0022  0.0013   0.016   0.016   0.015    3.39    3.39    1.61       5    5.01    15.1       7     0.5    4.75     0.4     0.2     100   125.6  250.95    0.05       8    0.01     0.1       0       0       0       0   BARLEY                     
   15 CBAR      35    0.42      15       0     3.5     0.6    20.1   49.95       1       1       2   0.007    0.85      90     1.2       2  660.47  0.0236  0.0029   0.005    0.21     0.6   0.266     129      20    0.12   0.059   0.022  0.0131  0.0057  0.0022  0.0013   0.016   0.016   0.015    3.39    3.39    1.61       5    5.01    15.1       8     0.5    4.75     0.4     0.2     100   125.6  250.95    0.05       8    0.01     0.1       0       0       0       0   CANADIAN_BARLEY            
